Inverse_Data_Epsilon,Total_Error_N_2_Chebyshev Nodes,Total_Error_N_4_Chebyshev Nodes,Total_Error_N_6_Chebyshev Nodes,Total_Error_N_8_Chebyshev Nodes,hlist,Observable Strings,List_of_Parameters,Parameter_Values
10,15.93804274,24.223324,13.03865841,14.0259484,-0.60734877,{0: 'Z'},Simulation Time,1
100,111.1994077,553.2468456,135.8780144,94.75908305,-0.508119347,{3: 'Z'},Trotter Order,2
1000,645.8291433,1719.574909,2911.912349,3169.118126,-0.384516189,{1: 'X'},Number Qubits,4
10000,800.5834962,15266.81225,36417.36793,20495.87647,0.702772765,,Initial State String,0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j
100000,790.873601,9702015.221,167994.5756,105722.7551,,,,
1000000,790.9708727,913835.0043,16956940.57,3947806.112,,,,
10000000,790.7468238,1009507.194,39126700.4,15867383.07,,,,
100000000,790.7403304,1078318.991,134778402.4,105827785.7,,,,
1000000000,790.7382073,1082349.055,572884978.4,897540612.2,,,,
10000000000,790.7385053,1081618.579,524552833.5,20914314634,,,,
1E+11,790.7384737,1081633.926,545589450.6,1.18E+11,,,,
1E+12,790.7384729,1081634.633,545819477.4,1.83103E+11,,,,
1E+13,790.7384724,1081633.702,545795912,1.76503E+11,,,,
