Inverse_Data_Epsilon,Total_Error_N_2_Richardson_Nodes,Total_Error_N_4_Richardson_Nodes,Total_Error_N_6_Richardson_Nodes,hlist,Observable Strings,List_of_Parameters,Parameter_Values
10,35.75743449,11.85712763,10.43935599,-0.463755626,{0: 'Z'},Simulation Time,10
100,107.9836167,231.0186513,706.5789487,0.679681251,{4: 'Z'},Trotter Order,2
1000,3098.110121,3772.202455,854.9209623,-0.653806368,{1: 'X'},Number Qubits,5
10000,1758.47008,16719.97144,20073.5845,0.006851333,,Initial State String,0j0j0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j
100000,1826.937151,656350.8184,182445.9948,0.700299413,,,
1000000,1843.530194,4730271.086,5921357.163,,,,
10000000,1842.356783,20087523.54,28479469.68,,,,
100000000,1842.57697,24363305.4,460760950,,,,
1000000000,1842.564107,18958691.34,1417773365,,,,
10000000000,1842.563415,19166508.78,12032524977,,,,
1E+11,1842.563251,19157877.99,1.13254E+11,,,,
1E+12,1842.563228,19160591.7,7.37932E+11,,,,
1E+13,1842.563224,19160724.08,5.53914E+11,,,,
1E+14,1842.563225,19160729.38,5.60289E+11,,,,
