Degree,Time_0.1,Time_1,Time_10,Time_100,Time_1000,hlist,Observable Strings,List_of_Parameters,Parameter_Values
1,1.9807885066727374667e-6,0.0015113285972330754797,0.027397260638173262971,0.13771080282912066242,0.97023443901746485757,0.149003887,{0: 'Z'},Simulation Time,0.1
2,5.4644466469105923423e-11,2.4428200555397837568e-6,0.00044826559177099112352,0.012388845575803014576,0.74202425700046417049,-0.634430435,{4: 'Z'},Trotter Order,2
3,8.7861699134343359055e-12,3.5429125381520787841e-9,3.7005571808891328989e-6,0.0017802342272611157689,0.17473750521517733634,0.718606884,{1: 'X'},Number Qubits,5
4,2.3460203777466576147e-14,4.122806241028758277e-12,6.2901252670895572115e-8,0.00039729495892077331675,0.14336158353374164009,-0.24986482,,Initial State String,0j0j0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j
5,1.443987887161241046e-16,3.170703513654705985e-15,2.6455013938029539773e-10,0.000012908577404862884474,0.014328966379024121384,0.856848369,,,
6,3.0836065038203352984e-16,9.9741517670982882127e-17,3.5357139172844873065e-12,2.7921151702972862169e-6,0.041318233822810704134,,,,
7,8.3582500729623143698e-16,1.0146522971864538332e-16,1.2354946235461523874e-14,5.0284720024405368441e-8,0.16541387122967390711,,,,
8,9.1276270396123404538e-18,5.9495594215142055816e-17,4.0460053384906713436e-16,9.5192125277230151209e-9,0.005080841586691507196,,,,
9,2.5642736631997786745e-16,7.7680544559744629796e-17,2.3754191972799598709e-17,1.1875790237169542036e-10,0.078372967502657183454,,,,
10,4.7725224380096298304e-17,1.1275787297143971544e-16,1.8028926875718331857e-16,1.9559763793654239526e-11,0.0085727414128047029879,,,,
11,1.3604704385619670326e-16,4.4818207305119539541e-17,3.4351759989077051971e-16,1.892315819285953632e-13,0.017620036514581487536,,,,
12,5.8158976224374769881e-17,1.1755123241995180106e-16,7.9267037269951934331e-16,2.6396443489123608273e-14,0.0023100812097368624303,,,,
13,2.535677830900473495e-17,3.4470005788513752298e-17,4.1060091524741659796e-16,4.5303895997075155355e-16,0.0024667645305854559817,,,,
14,3.4832366483349141983e-16,1.2706087131877583096e-16,6.2741593875609985576e-16,6.4056697229517012282e-16,0.0003368924278179674774,,,,
15,1.7975055580272958355e-16,1.7345540693873562343e-17,2.4210742731369666592e-16,6.9446198466306674479e-16,0.00024077700023012611629,,,,
16,1.0161515455030939448e-16,1.4054055364138076656e-16,4.7150427822089530094e-16,6.6258982892378193164e-16,0.000032671288422730575021,,,,
17,5.373577017381281351e-18,8.1666681609523367191e-17,1.3770553436692062332e-16,7.4423194657783492412e-16,0.000017481672078741369389,,,,
18,2.1332524776599554039e-16,1.7548235678151516415e-16,2.3454172902882125529e-16,8.9865621725766092753e-16,2.3089003736698772887e-6,,,,
19,4.561662056120144304e-16,1.985987329450322747e-16,9.8638003147299979645e-16,7.0310341479095511685e-16,9.8565348408846240096e-7,,,,
20,3.0581108121079808582e-16,1.3802994798571902035e-16,3.8042282540264038548e-16,3.1395106783391191207e-16,1.2545803753965828231e-7,,,,
21,3.5319579834609815538e-17,1.0246218749756369482e-16,3.4829825384507379082e-16,8.7676719183471529817e-16,4.4522626581244041384e-8,,,,
22,1.6522732888910734994e-16,1.5577782932953837536e-16,2.2150758603647208167e-16,4.6843124268825669931e-16,5.4338571844129212392e-9,,,,
23,2.445553525312615939e-16,1.5591674273288808061e-16,3.5646534552249975469e-16,7.1529391296783900733e-16,1.6500999981045093388e-9,,,,
24,2.2319826379919166515e-16,8.4334835393374413259e-17,7.2941056406677917678e-16,6.4653855457331294021e-16,1.9257644805393712636e-10,,,,
25,2.4725738763300281198e-16,2.1087308738369434091e-16,3.7662642373304661136e-16,7.9156753580219424427e-16,5.1162652327055595149e-11,,,,
26,5.1824863844807111946e-17,1.1935795369644522368e-16,1.4557785857870209067e-16,1.6624038029402349315e-16,5.7234609152095492976e-12,,,,
27,3.8790720852457938328e-17,1.6547974470738913144e-16,8.5102247243586809367e-16,9.1854455085919189949e-16,1.3231998597878591277e-12,,,,
28,5.7513537118566993023e-17,1.4472320233492250163e-16,7.1450447826099799942e-16,9.545315926562381037e-16,1.1999228481218270764e-13,,,,
29,1.9168863816133169253e-16,1.5197465139636656684e-16,8.8172741677383648096e-17,5.5779152455769087648e-16,5.2439455704741781694e-14,,,,
